Postcode,Avg asking price,Avg asking price (studio),Avg asking price (1 bed),Avg asking price (2 bed),Avg asking price (3 bed),Avg asking price (4 bed),Avg asking price (5 bed),Avg asking £/sqft,Avg sold £/sqft,Avg blended £/sqft,Sales per month,Turnover (sale),Avg asking rent (pm),"Avg asking rent (studio, pm)","Avg asking rent (1 bed, pm)","Avg asking rent (2 bed, pm)","Avg asking rent (3 bed, pm)","Avg asking rent (4 bed, pm)","Avg asking rent (5 bed, pm)","Avg asking rent HMO (double, pm)","Avg asking rent HMO (double ensuite, pm)",Avg yield,Turnover (rental),1yr,3yr,5yr,Crime rate,UK region,Population,Degree,Deprivation,AB,Avg. household income,Avg. bedrooms,Social rent,Private rent
DH7,"125,217",,,"91,561","122,605","283,594",,,132,132,29.0,25%,556,,,532,617,,,,,5.3%,138%,-2%,4%,7%,104,North East,"41,017",29%,24%,18%,"37,000",3.0,23%,10%
DH8,"131,020",,,"90,421","135,458","221,213",,151,126,139,21.0,21%,553,,,517,,,,,,5.1%,105%,6%,10%,14%,98,North East,"38,326",23%,26%,17%,"35,200",3.0,15%,14%
DH9,"98,640",,,"68,714","116,721","237,852",,97,104,100,19.0,15%,463,,,454,,,,,,5.6%,101%,-4%,-12%,-4%,139,North East,"36,685",15%,35%,11%,"31,500",3.0,24%,14%
DL1,"124,149",,,"95,338","142,836","239,053",,142,135,138,32.0,34%,525,,,513,,,,370,,5.1%,132%,7%,7%,10%,180,North East,"46,721",17%,29%,11%,"33,300",2.0,22%,17%
DL2,"258,394",,,"163,163","208,662","307,409","462,665",204,190,197,18.0,14%,760,,,,,,,,,3.5%,,2%,,13%,84,North East,"17,196",24%,24%,29%,"42,800",3.0,7%,18%
DL3,"148,118",,,"92,394","182,157","322,406","439,953",147,155,151,37.0,32%,522,,,507,,,,,,4.2%,127%,-6%,7%,12%,121,North East,"44,074",27%,23%,21%,"38,200",3.0,12%,18%
DL4,"73,433",,,"61,963","85,935",,,,65,65,8.0,21%,415,,,,,,,,,6.8%,,-3%,-26%,-16%,200,North East,"10,010",11%,39%,8%,"28,000",2.0,27%,16%
DL5,"135,075",,,"111,319","126,176","251,783",,,149,149,17.0,24%,534,,,,558,,,,,4.7%,,-7%,1%,15%,132,North East,"29,219",20%,28%,17%,"35,700",3.0,23%,10%
DL6,"249,899",,,"192,061","232,418",,,,227,227,15.0,36%,,,,,,,,,,,,12%,25%,34%,109,North East,"15,488",29%,20%,22%,"41,400",3.0,20%,12%
DL7,"266,724",,,"188,533","253,167","380,377",,,219,219,12.0,39%,,,,,,,,,,,,7%,13%,18%,64,North East,"16,065",30%,17%,23%,"42,200",3.0,10%,19%
DL8,"324,124",,,"193,663","310,680","410,499",,,243,243,14.0,20%,,,,,,,,,,,,10%,16%,20%,51,North East,"18,242",30%,17%,23%,"40,700",3.0,10%,17%
DL9,"166,945",,,,"179,258",,,,170,170,5.0,33%,,,,,,,,,,,,,2%,3%,71,North East,"15,753",17%,18%,12%,"40,800",3.0,18%,37%
DL10,"268,918",,,"199,987","260,232","409,957",,,207,207,12.0,27%,,,,,,,,,,,,5%,10%,17%,73,North East,"18,878",26%,18%,24%,"41,300",3.0,13%,17%
DL11,"402,998",,,,,,,,235,235,3.0,10%,,,,,,,,,,,,-8%,9%,10%,41,North East,"5,035",34%,18%,30%,"42,900",3.0,5%,19%
DL12,"254,278",,,,"224,925","350,833",,,189,189,6.0,20%,,,,,,,,,,,,6%,21%,34%,57,North East,"12,486",28%,20%,22%,"35,900",3.0,13%,17%
DL13,"180,383",,,"112,990","196,518",,,,119,119,10.0,19%,,,,,,,,,,,,2%,28%,27%,63,North East,"13,867",25%,26%,19%,"34,900",3.0,13%,13%
DL14,"100,906",,,"72,704","120,268","247,368",,,107,107,26.0,17%,427,,,416,,,,,,5.1%,117%,10%,13%,28%,173,North East,"37,237",19%,32%,13%,"33,800",3.0,19%,14%
DL15,"121,788",,,"77,702","118,640","257,139",,,108,108,12.0,19%,461,,,,,,,,,4.5%,,3%,18%,6%,128,North East,"22,470",17%,32%,14%,"32,600",3.0,21%,12%
DL16,"138,145",,,"85,545","146,621","235,438",,,134,134,16.0,21%,502,,,,,,,,,4.4%,,-4%,-13%,-6%,135,North East,"19,701",19%,32%,14%,"33,700",3.0,23%,10%
DL17,"87,590",,,"62,770","97,528","246,648",,,59,59,17.0,29%,430,,,401,471,,,,,5.9%,82%,24%,-1%,20%,167,North East,"17,623",15%,35%,9%,"30,900",3.0,26%,15%
DN1,"140,607",,,"97,083",,,,,90,90,5.0,13%,514,,504,,,,,,413,4.4%,122%,5%,21%,15%,639,East Midlands,"8,564",15%,41%,9%,"32,200",2.0,25%,41%
DN2,"160,635",,,"115,417","156,206","289,326",,,132,132,15.0,26%,617,,,,,,,,,4.6%,,12%,26%,32%,158,East Midlands,"24,674",18%,31%,13%,"35,100",3.0,21%,15%
DN3,"185,292",,,"139,120","174,348","295,236",,,173,173,15.0,21%,695,,,,,,,,,4.5%,,7%,15%,20%,86,East Midlands,"30,083",19%,28%,16%,"39,100",3.0,9%,12%
DN4,"168,933",,,"113,505","171,446","298,185","346,614",174,162,168,32.0,16%,627,,479,609,773,,,,427,4.5%,138%,2%,11%,16%,151,East Midlands,"53,722",21%,28%,17%,"37,300",3.0,17%,18%
DN5,"167,020",,,"115,239","167,923",,,201,158,179,21.0,30%,624,,,,666,,,,,4.5%,98%,14%,21%,29%,125,East Midlands,"40,543",15%,33%,16%,"38,400",3.0,13%,14%
DN6,"162,405",,,"128,947","145,930","326,316",,,138,138,15.0,19%,608,,,,,,,,,4.5%,,6%,15%,28%,131,East Midlands,"31,041",14%,35%,10%,"34,300",3.0,21%,13%
DN7,"185,556",,,"139,265","163,555","279,200",,176,146,161,16.0,21%,,,,,,,,,,,,4%,29%,18%,136,East Midlands,"24,521",14%,32%,12%,"34,000",3.0,19%,12%
DN8,"159,074",,,,"150,161",,,,135,135,8.0,25%,,,,,,,,,,,,7%,13%,19%,144,East Midlands,"17,577",11%,36%,8%,"32,300",3.0,19%,15%
DN9,"271,321",,,"153,021","225,098","360,466","453,163",,189,189,15.0,15%,789,,,,,,,,,3.5%,,11%,20%,39%,64,East Midlands,"19,790",27%,19%,26%,"44,600",3.0,8%,9%
DN10,"320,361",,,,"270,622","376,933",,,197,197,6.0,11%,,,,,,,,,,,,11%,20%,30%,68,East Midlands,"12,313",26%,22%,27%,"44,500",3.0,11%,9%
DN11,"205,584",,,"148,062","178,446","318,199",,,170,170,20.0,25%,696,,,,,,,,,4.1%,,8%,27%,27%,103,East Midlands,"28,344",18%,30%,15%,"37,400",3.0,17%,12%
DN12,"127,386",,,"101,664","129,064",,,,127,127,12.0,19%,557,,,,,,,,,5.2%,,5%,14%,21%,153,East Midlands,"24,092",11%,39%,7%,"31,200",3.0,25%,13%
DN14,"210,403",,,"137,819","198,931","343,426","415,000",221,178,199,35.0,27%,617,,,606,,,,,,3.5%,122%,4%,21%,33%,79,East Midlands,"46,330",20%,23%,17%,"38,900",3.0,12%,15%
DN15,"161,683",,,"127,912","154,862","355,577",,,141,141,22.0,34%,513,,,,,,,,,3.8%,,5%,15%,28%,142,East Midlands,"36,591",17%,27%,13%,"35,400",3.0,16%,17%
DN16,"148,678",,,"121,695","149,796","206,485",,,140,140,22.0,51%,559,,,,,,,,,4.5%,,12%,13%,25%,116,East Midlands,"31,697",15%,29%,12%,"35,000",3.0,18%,13%
DN17,"171,432",,,"136,437","157,533","276,068",,,148,148,25.0,39%,,,,,,,,,,,,6%,16%,26%,94,East Midlands,"37,168",17%,26%,13%,"37,500",3.0,19%,10%
DN18,"180,506",,,"137,303","189,794",,,,165,165,10.0,21%,,,,,,,,,,,,2%,6%,25%,79,East Midlands,"11,932",21%,26%,16%,"38,400",3.0,13%,15%
DN19,"257,572",,,,,"343,529",,,164,164,3.0,12%,,,,,,,,,,,,10%,8%,19%,37,East Midlands,"6,296",23%,22%,21%,"42,500",3.0,8%,12%
DN20,"207,463",,,"147,897","191,478","330,309",,220,172,196,9.0,16%,,,,,,,,,,,,5%,20%,27%,59,East Midlands,"19,373",24%,22%,21%,"39,600",3.0,12%,13%
DN21,"174,813",,,"96,542","168,016","308,969",,197,147,172,31.0,25%,547,,,497,,,,,,3.8%,89%,8%,24%,30%,127,East Midlands,"37,066",20%,25%,15%,"37,200",3.0,17%,16%
DN22,"222,307",,,"143,158","194,297","340,442","469,677",201,175,188,22.0,19%,617,,,,,,,,,3.3%,,10%,17%,24%,106,East Midlands,"35,936",23%,24%,17%,"39,000",3.0,16%,12%
DN31,"77,934",,,"72,164","80,537",,,,72,72,6.0,14%,486,,,,,,,,,7.5%,82%,10%,18%,30%,330,East Midlands,"9,598",9%,42%,4%,"28,600",2.0,13%,38%
DN32,"99,096",,,"74,815","91,805","224,045",,,96,96,18.0,15%,482,,413,477,492,,,379,,5.8%,65%,12%,19%,31%,209,East Midlands,"29,056",13%,34%,8%,"31,600",3.0,21%,27%
DN33,"178,246",,,"151,953","174,475",,,,162,162,14.0,30%,,,,,,,,,,,,3%,12%,22%,101,East Midlands,"19,406",18%,28%,13%,"35,700",3.0,21%,10%
DN34,"136,067",,,"112,150","137,283",,,,135,135,15.0,28%,,,,,,,,,,,,9%,8%,14%,85,East Midlands,"19,210",16%,28%,10%,"34,100",3.0,14%,13%
DN35,"139,698",,,"111,671","139,209","272,181",,,146,146,22.0,19%,544,,,,,,,383,,4.7%,82%,1%,14%,9%,111,East Midlands,"34,530",16%,28%,12%,"32,800",3.0,9%,24%
DN36,"246,272",,,"163,922","219,586","320,270",,214,187,201,13.0,12%,,,,,,,,,,,,2%,13%,27%,48,East Midlands,"19,200",17%,27%,21%,"39,100",3.0,5%,8%
DN37,"218,725",,,,"177,238","309,249",,,169,169,15.0,25%,,,,,,,,,,,,2%,14%,20%,97,East Midlands,"21,700",18%,26%,18%,"38,300",3.0,12%,9%
DN38,"207,313",,,,,,,,157,157,2.0,21%,,,,,,,,,,,,18%,58%,23%,62,East Midlands,"2,886",23%,20%,26%,"40,300",3.0,9%,12%
DN39,"233,675",,,,,,,,165,165,2.0,20%,,,,,,,,,,,,-7%,44%,32%,44,East Midlands,"2,781",23%,22%,19%,"39,300",3.0,11%,17%
DN40,"149,584",,,,"143,181",,,,143,143,8.0,24%,,,,,,,,,,,,5%,22%,28%,85,East Midlands,"12,072",11%,30%,6%,"33,100",3.0,20%,12%
DN41,"210,112",,,,"211,650",,,,178,178,3.0,14%,,,,,,,,,,,,8%,22%,23%,38,East Midlands,"6,279",18%,24%,21%,"42,900",3.0,6%,9%
DT1,"314,722",,"158,529","257,286","367,258","537,333",,,305,305,21.0,33%,936,,,,,,,,,3.6%,,1%,12%,13%,110,South West,"18,931",32%,20%,25%,"43,500",3.0,18%,14%
DT2,"397,526",,,"247,824","375,882","547,907",,,286,286,20.0,39%,,,,,,,,,,,,9%,21%,26%,48,South West,"24,674",33%,18%,28%,"44,400",3.0,11%,14%
DT3,"336,484",,,"238,226","348,514","463,500",,,291,291,14.0,26%,,,,,,,,,,,,5%,6%,21%,74,South West,"23,387",24%,24%,22%,"41,100",3.0,12%,12%
DT4,"262,295",,"140,521","214,436","315,778","335,000",,,251,251,30.0,26%,698,,,,,,,494,,3.2%,,11%,13%,21%,147,South West,"36,871",22%,27%,17%,"38,900",3.0,15%,19%
DT5,"225,077",,,"201,979","255,182",,,,220,220,11.0,23%,,,,,,,,,,,,2%,10%,22%,99,South West,"12,817",19%,26%,13%,"38,000",3.0,14%,17%
DT6,"395,290",,,"317,794","427,484","731,666",,,318,318,17.0,22%,,,,,,,,,,,,7%,16%,28%,69,South West,"21,663",27%,22%,20%,"38,800",3.0,14%,13%
DT7,"396,904",,,"261,726",,,,,340,340,6.0,32%,,,,,,,,,,,,2%,5%,22%,54,South West,"5,462",33%,19%,28%,"39,100",3.0,12%,11%
DT8,"394,968",,,,,,,,285,285,5.0,21%,,,,,,,,,,,,4%,16%,22%,43,South West,"5,893",29%,21%,21%,"40,800",3.0,15%,12%
DT9,"349,241",,,"257,052","347,563","506,762",,301,287,294,17.0,35%,931,,,,,,,,,3.2%,,-6%,8%,16%,49,South West,"20,760",33%,18%,28%,"41,200",3.0,14%,14%
DT10,"398,843",,,,"327,476","484,075",,313,267,290,9.0,17%,,,,,,,,,,,,9%,21%,20%,41,South West,"11,901",26%,19%,21%,"40,100",3.0,14%,11%
DT11,"375,625",,,"246,578","386,250","540,200",,327,297,312,18.0,33%,972,,,,,,,,,3.1%,,6%,10%,22%,55,South West,"30,122",29%,18%,25%,"42,900",3.0,15%,17%
DY1,"189,262",,,"160,076","201,694","286,908",,,184,184,9.0,20%,662,,,,,,,,,4.2%,101%,11%,20%,32%,138,West Midlands,"31,930",16%,35%,15%,"35,100",2.0,30%,10%
DY2,"170,724",,,"141,995","186,188",,,,165,165,15.0,27%,684,,,,,,,,,4.8%,122%,7%,35%,31%,119,West Midlands,"34,041",13%,39%,9%,"32,600",3.0,30%,11%
DY3,"246,238",,,"183,082","245,168","373,470",,,207,207,24.0,28%,753,,,,,,,,,3.7%,,7%,25%,24%,83,West Midlands,"34,092",20%,28%,16%,"37,400",3.0,21%,6%
DY4,"174,739",,,"143,139","201,636","300,450",,,175,175,17.0,24%,663,,,666,,,,,,4.6%,,9%,16%,35%,131,West Midlands,"43,161",12%,39%,9%,"32,500",3.0,33%,11%
DY5,"180,532",,"90,568","147,202","207,263","313,990",,,194,194,20.0,26%,689,,,670,834,,,,,4.6%,140%,6%,16%,39%,113,West Midlands,"42,238",14%,33%,12%,"36,400",3.0,23%,11%
DY6,"269,117",,,"206,486","268,781","385,692",,,241,241,23.0,50%,841,,,,,,,,,3.8%,,7%,21%,31%,57,West Midlands,"28,146",23%,23%,23%,"42,000",3.0,7%,6%
DY7,"428,783",,,,"393,839",,,,281,281,3.0,11%,,,,,,,,,,,,14%,23%,46%,61,West Midlands,"8,028",27%,24%,35%,"44,500",3.0,11%,11%
DY8,"258,038",,,"188,896","270,387","382,888",,251,232,242,35.0,28%,764,,,748,,,,,,3.6%,138%,9%,20%,28%,70,West Midlands,"50,205",26%,24%,23%,"40,400",3.0,15%,9%
DY9,"309,308",,,"196,358","314,600","527,778",,288,258,273,15.0,24%,806,,,,,,,,,3.1%,,-2%,14%,10%,86,West Midlands,"30,035",28%,24%,30%,"41,900",3.0,12%,10%
DY10,"229,888",,,"173,456","235,710","363,530",,242,205,223,17.0,20%,654,,,637,,,,,,3.4%,140%,4%,16%,29%,109,West Midlands,"35,493",23%,24%,20%,"39,800",3.0,16%,15%
DY11,"246,249",,,"161,248","246,957","379,382",,240,209,224,20.0,38%,661,,,,,,,,,3.2%,,6%,16%,22%,99,West Midlands,"30,309",21%,26%,16%,"38,400",3.0,18%,12%
DY12,"281,772",,,"233,590","276,136","508,000",,,251,251,6.0,15%,,,,,,,,,,,,4%,21%,24%,67,West Midlands,"12,051",24%,24%,27%,"40,400",3.0,9%,13%
DY13,"240,765",,,"160,495","255,436","383,711",,,214,214,14.0,26%,736,,,,,,,,,3.7%,,10%,16%,33%,80,West Midlands,"22,330",20%,26%,18%,"38,400",3.0,11%,12%
DY14,"415,498",,,,,"581,900",,,230,230,4.0,20%,,,,,,,,,,,,9%,16%,30%,54,West Midlands,"8,235",26%,24%,28%,"40,800",3.0,10%,12%
E1,"606,304","418,750","478,830","643,755","798,785","728,276",,828,870,849,22.0,3%,"2,064","1,272","1,728","2,297","2,734","2,914",,741,"1,049",4.1%,138%,,-15%,-8%,249,Greater London,"81,940",41%,34%,31%,"55,000",2.0,41%,32%
E2,"559,280",,"427,068","573,955","704,929","824,500",,759,722,741,11.0,5%,"1,967",,"1,606","2,103","2,482",,,767,,4.2%,132%,-8%,4%,-4%,223,Greater London,"46,219",38%,36%,29%,"50,400",2.0,45%,29%
E3,"434,435",,"355,302","462,152","517,681","628,077",,663,668,665,22.0,6%,"1,645",,"1,384","1,776","2,306",,,698,876,4.5%,140%,-5%,-5%,1%,214,Greater London,"51,618",38%,34%,27%,"51,600",2.0,46%,28%
E4,"481,191",,"277,500","374,952","550,855","691,609",,514,480,497,21.0,14%,"1,472",,,"1,320","1,796",,,614,,3.7%,109%,4%,12%,20%,120,Greater London,"60,225",24%,27%,21%,"49,900",3.0,18%,12%
E5,"538,893",,"386,964","482,019","734,218","1,058,000",,717,715,716,9.0,7%,"1,623",,"1,404","1,748",,,,713,,3.6%,140%,-2%,10%,26%,169,Greater London,"47,651",44%,30%,20%,"45,900",2.0,45%,28%
E6,"395,220",,"262,593","353,239","453,484",,,502,426,464,10.0,7%,"1,633",,"1,202","1,449","1,794",,,590,,5.0%,140%,2%,10%,23%,148,Greater London,"78,955",28%,38%,14%,"45,000",2.0,25%,32%
E7,"482,082",,"294,667","378,828","528,718","723,000",,561,512,536,5.0,5%,"1,666",,,"1,494","1,771",,,607,,4.1%,109%,5%,15%,25%,122,Greater London,"54,565",31%,36%,16%,"46,600",3.0,20%,37%
E8,"626,002",,"450,943","611,022","794,524","1,332,438",,839,785,812,11.0,5%,"1,951",,"1,667","2,115",,,,788,,3.7%,140%,-9%,,8%,272,Greater London,"39,071",45%,33%,27%,"51,200",2.0,45%,30%
E9,"520,747",,"382,396","487,146","638,472",,,732,723,727,6.0,5%,"1,842",,"1,501","1,985",,,,724,,4.2%,132%,3%,10%,12%,186,Greater London,"38,236",37%,36%,20%,"46,900",2.0,57%,19%
E10,"448,292",,"318,331","411,925","596,323","742,083",,593,575,584,15.0,14%,"1,368",,"1,160","1,413","1,758",,,631,,3.7%,140%,13%,19%,24%,165,Greater London,"42,953",30%,33%,17%,"49,800",2.0,22%,35%
E11,"496,529",,"288,881","431,127","645,370","875,500",,599,599,599,19.0,13%,"1,441",,"1,121","1,436","1,799",,,622,,3.5%,109%,3%,8%,23%,131,Greater London,"55,128",39%,27%,30%,"53,300",2.0,20%,30%
E12,"441,652",,,"329,500","481,400","648,000",,479,432,455,5.0,8%,"1,538",,,,"1,809",,,550,,4.2%,132%,8%,20%,40%,109,Greater London,"41,869",29%,39%,16%,"45,000",3.0,24%,33%
E13,"385,659",,"294,517","361,528","459,571",,,515,452,483,9.0,7%,"1,660",,,"1,521",,,,611,,5.2%,140%,-3%,4%,20%,143,Greater London,"46,912",26%,41%,12%,"42,800",2.0,34%,30%
E14,"540,247","390,698","432,627","601,795","824,155","704,107",,761,760,760,25.0,2%,"2,013","1,391","1,738","2,147","2,538","2,768","3,942",774,998,4.5%,132%,2%,19%,22%,204,Greater London,"79,759",45%,29%,40%,"60,500",2.0,34%,38%
E15,"447,569",,"320,283","427,849","560,280","626,250",,612,599,605,12.0,6%,"1,698",,"1,356","1,615","2,059","2,192",,660,871,4.6%,140%,,2%,26%,226,Greater London,"52,244",35%,33%,21%,"49,200",2.0,34%,37%
E16,"453,841",,"386,477","461,511","611,425",,,626,600,613,9.0,2%,"1,731",,"1,485","1,845","2,242",,,746,899,4.6%,138%,-5%,-3%,12%,179,Greater London,"44,874",30%,36%,25%,"49,100",2.0,38%,35%
E17,"477,549",,"330,941","443,179","610,732","761,119",,630,617,623,30.0,6%,"1,520",,"1,243","1,487","2,061","2,265",,635,,3.8%,140%,6%,17%,20%,150,Greater London,"103,276",32%,32%,22%,"50,100",2.0,24%,27%
E18,"494,723",,"305,000","422,780","633,055","816,071",,575,552,563,10.0,15%,"1,430",,"1,202","1,412",,,,,,3.5%,127%,12%,23%,23%,93,Greater London,"19,022",47%,18%,42%,"58,600",3.0,9%,25%
EC1,"821,560",,"635,257","956,930","1,294,826",,,"1,062","1,189","1,126",7.0,3%,"2,449","1,665","2,127","2,900",,,,919,,3.6%,138%,-25%,-26%,-19%,256,Greater London,"27,051",51%,26%,38%,"52,500",2.0,48%,27%
EC2,"1,198,949",,"802,243","1,407,265","3,082,909",,,"1,582","1,477","1,530",4.0,2%,"2,801",,"2,639","3,098",,,,,,2.8%,122%,-18%,10%,,792,Greater London,"4,695",59%,20%,61%,"61,700",1.0,7%,45%
EC4,"887,000",,,,,,,,"1,077","1,077",2.0,8%,,,,,,,,,,,,,,,"1,483",Greater London,"1,181",56%,25%,67%,"65,400",0.0,2%,59%
EN1,"454,433",,"260,886","369,018","518,980","653,695",,495,480,488,13.0,13%,"1,377",,,"1,382",,,,580,,3.6%,89%,7%,10%,21%,121,Greater London,"45,678",27%,27%,22%,"49,700",2.0,17%,18%
EN2,"497,999",,"278,136","389,602","623,413","741,756",,545,517,531,15.0,13%,"1,461",,,"1,386",,,,,,3.5%,113%,2%,10%,13%,131,Greater London,"29,457",34%,21%,32%,"54,600",3.0,10%,18%
EN3,"382,323",,"227,139","311,554","441,193","553,845",,465,423,444,10.0,12%,"1,429",,"1,081","1,362","1,701",,,607,,4.5%,138%,5%,10%,15%,153,Greater London,"55,691",21%,34%,13%,"42,300",3.0,24%,23%
EN4,"595,252",,"297,782","428,192","656,032","854,806",,585,567,576,13.0,12%,"1,549",,,"1,516",,,,,,3.1%,140%,3%,12%,17%,108,Greater London,"25,767",37%,20%,31%,"54,600",3.0,8%,18%
EN5,"521,651",,"313,828","413,351","645,747","888,826",,581,555,568,14.0,8%,"1,389",,"1,146","1,465",,,,665,,3.2%,95%,-1%,13%,17%,102,Greater London,"37,049",39%,21%,33%,"56,800",3.0,15%,17%
EN6,"580,978",,"242,843","383,108","586,646","741,173","1,739,996",523,508,516,14.0,11%,"1,403",,,"1,380",,,,,,2.9%,140%,9%,16%,29%,93,Greater London,"29,075",30%,19%,29%,"50,300",3.0,11%,10%
EN7,"569,827",,,"371,374","510,287","706,051",,501,443,472,14.0,23%,"1,396",,,,,,,,,2.9%,,1%,10%,16%,67,Greater London,"21,882",18%,25%,20%,"45,900",3.0,10%,6%
EN8,"377,267",,"211,999","299,685","450,070","587,534",,454,421,437,12.0,12%,"1,150",,940,"1,205",,,,561,,3.7%,132%,3%,7%,22%,144,Greater London,"35,806",17%,30%,15%,"41,700",2.0,18%,13%
EN9,"432,330",,"212,928","319,750","431,119","675,123","1,326,667",448,404,426,12.0,11%,"1,070",,,,,,,,,3.0%,140%,1%,16%,19%,135,Greater London,"23,596",17%,28%,16%,"41,600",3.0,21%,10%
EN10,"485,801",,,"272,287","490,238","745,747",,480,415,448,10.0,16%,"1,039",,,,,,,,,2.6%,,7%,32%,29%,82,Greater London,"17,203",23%,20%,24%,"49,200",3.0,14%,12%
EN11,"390,971",,,"272,756","443,729","588,665",,444,393,418,9.0,15%,"1,059",,,,,,,,,3.3%,,6%,11%,21%,97,Greater London,"21,478",20%,23%,18%,"45,300",3.0,13%,13%
EX1,"329,608",,"159,996","242,419","322,436","439,436",,325,294,310,21.0,22%,"1,190",,,"1,013",,,,525,,4.3%,138%,2%,5%,16%,117,South West,"21,285",29%,25%,22%,"40,100",2.0,22%,17%
EX2,"311,941",,"173,374","242,076","317,241","455,391",,305,297,301,26.0,24%,"1,056",,,965,"1,338",,,537,,4.1%,140%,9%,12%,19%,96,South West,"40,597",30%,23%,25%,"43,800",3.0,14%,19%
EX3,"512,337",,,,"485,417",,,,397,397,3.0,8%,,,,,,,,,,,,-5%,19%,33%,33,South West,"4,722",44%,16%,39%,"44,000",3.0,6%,16%
EX4,"273,273",,"148,232","222,636","289,035","438,887",,356,286,321,35.0,36%,944,,754,"1,011","1,201",,,526,,4.1%,117%,2%,9%,20%,107,South West,"55,144",27%,24%,19%,"41,200",3.0,17%,24%
EX5,"339,962",,,"236,452","322,135","447,998",,306,284,295,14.0,23%,959,,,,,,,,,3.4%,,10%,17%,23%,55,South West,"18,788",31%,21%,31%,"47,100",3.0,10%,14%
EX6,"361,052",,,"225,788","388,286","460,000",,,296,296,8.0,19%,,,,,,,,,,,,-1%,19%,15%,44,South West,"13,740",31%,22%,31%,"44,800",3.0,7%,14%
EX7,"271,061",,,"176,491","297,138","469,612",,236,256,246,13.0,25%,,,,,,,,,,,,11%,5%,12%,74,South West,"12,502",24%,28%,17%,"37,000",3.0,8%,19%
EX8,"320,225",,"150,727","254,810","362,096","524,967",,334,298,316,34.0,31%,838,,,,,,,,,3.1%,,,11%,25%,67,South West,"37,404",26%,23%,19%,"39,100",3.0,11%,17%
EX9,"459,000",,,,"445,938",,,,324,324,5.0,22%,,,,,,,,,,,,2%,10%,37%,37,South West,"6,834",39%,18%,29%,"41,400",3.0,8%,12%
EX10,"431,760",,,"360,721","464,029","656,250",,339,329,334,18.0,33%,827,,,,,,,,,2.3%,,3%,16%,28%,46,South West,"16,775",31%,18%,25%,"39,700",3.0,10%,10%
EX11,"362,745",,,"247,993","366,378","580,330",,,295,295,6.0,20%,,,,,,,,,,,,25%,17%,26%,44,South West,"7,999",36%,16%,29%,"45,400",3.0,8%,11%
EX12,"328,560",,,"248,161","340,272",,,,294,294,9.0,24%,,,,,,,,,,,,,12%,30%,54,South West,"9,306",25%,23%,19%,"35,200",3.0,8%,15%
EX13,"289,769",,,"181,932","344,645",,,,260,260,11.0,31%,,,,,,,,,,,,2%,20%,27%,57,South West,"11,722",27%,21%,19%,"38,500",3.0,12%,13%
EX14,"314,666",,,"206,863","325,072","409,124",,295,281,288,13.0,22%,,,,,,,,,,,,4%,10%,22%,46,South West,"20,810",25%,22%,20%,"39,800",3.0,10%,14%
EX15,"332,651",,,"202,047","286,509","479,542",,268,257,263,14.0,27%,,,,,,,,,,,,-1%,6%,22%,45,South West,"21,043",26%,20%,21%,"41,700",3.0,12%,14%
EX16,"306,939",,,"196,091","301,930","440,000",,246,244,245,23.0,25%,805,,,,,,,,,3.1%,132%,3%,23%,34%,59,South West,"32,229",24%,23%,18%,"40,000",3.0,15%,18%
EX17,"328,656",,,"201,719","275,623","476,385",,292,249,270,8.0,22%,,,,,,,,,,,,7%,20%,28%,47,South West,"19,488",29%,21%,23%,"40,900",3.0,10%,15%
EX18,"335,000",,,,,,,,248,248,2.0,14%,,,,,,,,,,,,16%,26%,34%,40,South West,"2,958",27%,22%,19%,"40,200",3.0,8%,13%
EX19,"378,929",,,,,,,,241,241,2.0,29%,,,,,,,,,,,,16%,15%,33%,24,South West,"3,609",27%,21%,20%,"41,200",3.0,6%,13%
EX20,"303,779",,,"201,727","296,963","431,087",,283,232,257,13.0,18%,,,,,,,,,,,,4%,14%,28%,54,South West,"20,125",26%,23%,19%,"39,300",3.0,10%,17%
EX21,"418,771",,,,,,,,244,244,3.0,17%,,,,,,,,,,,,13%,43%,50%,32,South West,"4,405",25%,22%,19%,"38,800",3.0,5%,11%
EX22,"356,769",,,"223,376","335,186","485,825",,,236,236,9.0,21%,,,,,,,,,,,,7%,26%,46%,38,South West,"10,653",19%,25%,13%,"36,500",3.0,8%,17%
EX23,"361,010",,,"246,272","386,318","490,273",,,286,286,11.0,16%,,,,,,,,,,,,4%,24%,29%,50,South West,"15,617",23%,25%,17%,"34,700",3.0,11%,16%
EX24,"413,476",,,,"417,268",,,,310,310,3.0,19%,,,,,,,,,,,,9%,17%,32%,20,South West,"3,727",31%,18%,24%,"41,500",3.0,10%,9%
EX31,"356,299",,,"227,974","316,127","474,263",,,269,269,23.0,29%,,,,,,,,,,,,9%,13%,26%,74,South West,"25,086",22%,23%,20%,"39,900",3.0,9%,15%
EX32,"277,679",,,"202,103","263,221","417,363",,262,229,245,18.0,31%,,,,,,,,,,,,11%,20%,35%,81,South West,"23,896",20%,26%,15%,"37,600",3.0,15%,20%
EX33,"515,510",,,,"403,564",,,,315,315,6.0,22%,,,,,,,,,,,,7%,24%,36%,45,South West,"10,259",25%,22%,24%,"40,300",3.0,7%,14%
EX34,"300,871",,,"215,794","323,863","380,327",,,222,222,18.0,28%,,,,,,,,,,,,13%,47%,35%,75,South West,"17,307",20%,28%,14%,"35,100",3.0,9%,26%
