Postcode,Avg asking price,Avg asking price (studio),Avg asking price (1 bed),Avg asking price (2 bed),Avg asking price (3 bed),Avg asking price (4 bed),Avg asking price (5 bed),Avg asking £/sqft,Avg sold £/sqft,Avg blended £/sqft,Sales per month,Turnover (sale),Avg asking rent (pm),"Avg asking rent (studio, pm)","Avg asking rent (1 bed, pm)","Avg asking rent (2 bed, pm)","Avg asking rent (3 bed, pm)","Avg asking rent (4 bed, pm)","Avg asking rent (5 bed, pm)","Avg asking rent HMO (double, pm)","Avg asking rent HMO (double ensuite, pm)",Avg yield,Turnover (rental),1yr,3yr,5yr,Crime rate,UK region,Population,Degree,Deprivation,AB,Avg. household income,Avg. bedrooms,Social rent,Private rent
PE33,"320,234",,,"206,500","284,828","448,886",,,223,223,11.0,29%,,,,,,,,,,,,10%,22%,23%,42,East of England,"15,804",22%,20%,20%,"42,300",3.0,8%,19%
PE34,"296,695",,,,"282,596","411,000",,,216,216,7.0,25%,,,,,,,,,,,,8%,22%,33%,58,East of England,"13,973",17%,29%,13%,"39,500",3.0,11%,10%
PE36,"314,373",,,"247,499","363,906",,,,284,284,8.0,15%,,,,,,,,,,,,5%,7%,32%,79,East of England,"6,362",21%,28%,18%,"35,000",3.0,10%,17%
PE37,"280,196",,,"192,500","271,196","360,998",,284,234,259,9.0,25%,,,,,,,,,,,,6%,8%,22%,86,East of England,"10,218",16%,29%,14%,"37,200",3.0,17%,13%
PE38,"268,267",,,"204,931","266,613","389,714",,,233,233,14.0,21%,,,,,,,,,,,,4%,14%,27%,69,East of England,"14,855",19%,28%,17%,"39,500",3.0,12%,15%
PL1,"179,797",,"115,883","184,238","216,034","246,923",,250,193,222,20.0,19%,633,,596,759,,,,458,505,4.2%,26%,-2%,16%,23%,325,South West,"22,523",23%,36%,15%,"32,400",2.0,38%,34%
PL2,"177,108",,"88,906","154,452","201,770","227,857",,184,166,175,18.0,37%,750,,,,,,,433,,5.1%,,4%,10%,11%,108,South West,"30,591",24%,26%,12%,"38,300",3.0,23%,19%
PL3,"231,984",,"125,417","161,362","242,830","323,333",,225,196,211,23.0,37%,747,,,,,,,,,3.9%,,2%,10%,19%,70,South West,"30,861",26%,24%,23%,"42,700",3.0,13%,16%
PL4,"183,455",,"97,268","143,931","193,249","233,906",,181,159,170,22.0,24%,530,,598,660,541,,,423,532,3.5%,31%,9%,12%,17%,170,South West,"36,375",24%,29%,15%,"35,100",3.0,12%,48%
PL5,"177,388",,"97,679","155,125","196,346","292,821",,232,183,208,21.0,41%,782,,,,,,,,,5.3%,,2%,11%,18%,112,South West,"42,921",13%,34%,9%,"35,100",2.0,32%,11%
PL6,"244,002",,,"174,032","229,459","400,482",,253,221,237,21.0,45%,,,,,,,,,,,,11%,9%,16%,74,South West,"40,941",19%,27%,17%,"39,600",3.0,17%,11%
PL7,"259,271",,,"191,293","255,909","387,857",,273,243,258,21.0,54%,,,,,,,,,,,,2%,10%,22%,49,South West,"31,462",24%,18%,19%,"43,700",3.0,7%,11%
PL8,"477,083",,,"332,500","432,682",,,322,299,311,4.0,33%,,,,,,,,,,,,1%,18%,24%,25,South West,"5,587",41%,17%,37%,"47,200",3.0,12%,14%
PL9,"310,379",,,"229,559","292,971","439,995",,,252,252,23.0,44%,,,,,,,,,,,,2%,10%,18%,49,South West,"27,946",27%,19%,24%,"44,600",3.0,5%,13%
PL10,"326,765",,,,,,,,255,255,4.0,23%,,,,,,,,,,,,2%,15%,25%,52,South West,"3,453",30%,23%,23%,"39,800",3.0,15%,14%
